voucher_id,species,sex,locality,elevation_m,svl_mm,tail_len_mm,head_len_mm,head_wid_mm,femur_len_mm,mass_g
MVZ:Herp:29401,Sceloporus occidentalis,M,Mono County CA,2180,68.45,92.10,15.22,12.45,13.80,12.35
MVZ:Herp:29402,Sceloporus occidentalis,M,Mono County CA,2185,71.20,95.60,15.80,13.10,14.25,14.10
MVZ:Herp:29403,Sceloporus occidentalis,F,Mono County CA,2175,65.80,84.30,14.10,11.85,12.90,11.50
MVZ:Herp:29404,Sceloporus occidentalis,F,Inyo County CA,1840,67.15,88.40,14.65,12.05,13.15,11.85
MVZ:Herp:29405,Sceloporus occidentalis,M,Inyo County CA,1855,73.50,98.20,16.40,13.60,14.80,15.20
MVZ:Herp:29406,Sceloporus occidentalis,F,Washoe County NV,1620,64.90,83.50,14.05,11.60,12.70,10.90
MVZ:Herp:29407,Sceloporus occidentalis,M,Washoe County NV,1630,70.10,93.80,15.45,12.80,13.95,13.40
MVZ:Herp:29408,Sceloporus graciosus,M,Alpine County CA,2450,54.30,72.40,11.80,9.45,10.85,6.80
MVZ:Herp:29409,Sceloporus graciosus,F,Alpine County CA,2460,56.10,70.80,11.95,9.60,11.05,7.25
MVZ:Herp:29410,Sceloporus graciosus,M,Douglas County NV,2310,53.80,71.20,11.65,9.30,10.70,6.50
MVZ:Herp:29411,Sceloporus graciosus,F,Douglas County NV,2315,55.40,69.50,11.90,9.50,10.95,7.10
MVZ:Herp:29412,Uta stansburiana,M,Nye County NV,1120,48.20,68.90,10.45,8.15,9.20,4.60
MVZ:Herp:29413,Uta stansburiana,F,Nye County NV,1125,46.50,62.30,9.95,7.85,8.90,4.10
MVZ:Herp:29414,Uta stansburiana,M,Esmeralda County NV,1250,49.10,70.40,10.60,8.30,9.40,4.85
MVZ:Herp:29415,Uta stansburiana,F,Esmeralda County NV,1240,47.30,64.10,10.15,7.95,9.05,4.30
